Product Name,Product ID,Category,Confidence,Flag
Pañitos Clasicos Doypak Pompiglos 250 Unds,1019,Bienes y Servicios Diversos,high,
Cereal Corn Flakes Kelloggs 200 Gr,102,Alimentos y Bebidas No Alcohólicas,high,
Bloqueador Solar Adulto Factor 50 Solaris 90 Gr,1020,Bienes y Servicios Diversos,high,
Bloqueador Solar Baby Kids Factor 50 Solaris 90 Gr,1021,Bienes y Servicios Diversos,high,
Bloqueador Solar Sport Factor 50 Solaris 90 Gr,1022,Bienes y Servicios Diversos,high,
Bloqueador Solar Facial Factor 30 Solaris 90 Gr,1023,Bienes y Servicios Diversos,high,
Cepillo F92 Clinic Doble 2X1 Suave Foramen,1024,Bienes y Servicios Diversos,high,
Gel Bucal Foramen 75 Ml,1025,Bienes y Servicios Diversos,high,
Pasta Dental 2 En 1 Dientes Blancos Foramen 100 Ml,1026,Bienes y Servicios Diversos,high,
Gel Dental Junior Forman 50 Ml,1027,Bienes y Servicios Diversos,high,
Pasta Dental 2 En 1 Junior 2 En 1 Foramen 100 Ml,1028,Bienes y Servicios Diversos,high,
Pasta Dental 2 En 1 Herbal Aloe Foramen 100 Ml,1029,Bienes y Servicios Diversos,high,
Cereal Corn Flakes Kelloggs 500 Gr,103,Alimentos y Bebidas No Alcohólicas,high,
Enjuague Bucal Herbal Aloe Foramen 500 Ml,1030,Bienes y Servicios Diversos,high,
Enjuague Bucal Dientes Sensibles Foramen 500 Ml,1031,Bienes y Servicios Diversos,high,
Enjuague Bucal Proteccion Foramen 500 Ml,1032,Bienes y Servicios Diversos,high,
Enjuague Bucal Junior Foramen 500 Ml,1033,Bienes y Servicios Diversos,high,
Enjuague Bucal Gingivitis Foramen 250 Ml,1034,Bienes y Servicios Diversos,high,
Neceser Adulto Foramen Unidad,1036,Bienes y Servicios Diversos,high,
Cepillo F29 Tynex Suave Foramen,1037,Bienes y Servicios Diversos,high,
Cepillo F29 Tynex Medio Foramen,1038,Bienes y Servicios Diversos,high,
Cepillo Ortodoncias 504 Foramen Unidad,1039,Bienes y Servicios Diversos,high,
Cereal Sabor Chocolate Chocapic Nestle 250 Gr,104,Alimentos y Bebidas No Alcohólicas,high,
Cepillo Infantil 4 mas Reloj Pulsera Foramen Unidad,1040,Bienes y Servicios Diversos,high,
Cepillo Pharma Ortodoncia Foramen Unidad,1041,Bienes y Servicios Diversos,high,
Cepillo F30 Tynex Suave Foramen,1042,Bienes y Servicios Diversos,high,
Cepillo F30 Tynex Duro Foramen,1044,Bienes y Servicios Diversos,high,
Cepillo Pharma Suave Foramen Unidad,1045,Bienes y Servicios Diversos,high,
Cepillo F92 Clinic Suave Foramen,1046,Bienes y Servicios Diversos,high,
Cepillo Pharma Medio Foramen Unidad,1047,Bienes y Servicios Diversos,high,
Cepillo F92 Clinic Medio Foramen,1048,Bienes y Servicios Diversos,high,
Cepillo F92 Clinic Duro Foramen,1049,Bienes y Servicios Diversos,high,
Cereal Chocapic Nestle 400 Gr,105,Alimentos y Bebidas No Alcohólicas,high,
Cepillo Profesional Medio Foramen Unidad,1051,Bienes y Servicios Diversos,high,
Cepillo Profesional Duro Foramen Unidad,1052,Bienes y Servicios Diversos,high,
Cepillo Dual Suave Foramen Unidad,1053,Bienes y Servicios Diversos,high,
Cepillo Dual Medio Foramen Unidad,1054,Bienes y Servicios Diversos,high,
Cepillo V-Plus Suave Foramen Unidad,1055,Bienes y Servicios Diversos,high,
Cepillo Foramen V Plus Medio Foramen Unidad,1056,Bienes y Servicios Diversos,high,
Cepillo V Plus Duro Foramen Unidad,1057,Bienes y Servicios Diversos,high,
Cepillo Pharma Sensible Foramen Unidad,1058,Bienes y Servicios Diversos,high,
Cepillo para Encias Delicadas Foramen Unidad,1059,Bienes y Servicios Diversos,high,
Cepillo Adapta Duro Foramen Unidad,1061,Bienes y Servicios Diversos,high,
Cepillo Expert 3 Suave Foramen,1062,Bienes y Servicios Diversos,high,
Cepillo Expert 3 Medio Foramen Unidad,1063,Bienes y Servicios Diversos,high,
Cepillo Expert 3 Duro Foramen Unidad,1064,Bienes y Servicios Diversos,high,
Cepillo Infantil Suave Foramen Unidad,1065,Bienes y Servicios Diversos,high,
Cepillo Junior Aromas Fruits Foramen Unidad,1066,Bienes y Servicios Diversos,high,
Cepillo Junior Tynex Suave Foramen Unidad,1067,Bienes y Servicios Diversos,high,
Cepillo Expert Pro Suave Foramen Unidad,1068,Bienes y Servicios Diversos,high,
Cepillo Expert Pro Medio Foramen Unidad,1069,Bienes y Servicios Diversos,high,
Sebada Instantanea Ecco Nestle 190 Gr,107,Alimentos y Bebidas No Alcohólicas,high,
Cepillo Baby Foramen Unidad,1070,Bienes y Servicios Diversos,high,
Cepillo Pharma Sensor Foramen Unidad,1071,Bienes y Servicios Diversos,high,
Cepillo F-6 Tynex Suave Foramen Unidad,1072,Bienes y Servicios Diversos,high,
Cepillo F-6 Maxi Tynex Medio Foramen Unidad,1074,Bienes y Servicios Diversos,high,
Cepillo de Viaje Formmen Unidad,1075,Bienes y Servicios Diversos,high,
Set Dental De Viaje Traveler 3 en 1 Foramen,1076,Bienes y Servicios Diversos,high,
Cepillo Infantil mas Reloj Foramen Unidad,1077,Bienes y Servicios Diversos,high,
Limpiador Lingual Foramen Unidad,1078,Bienes y Servicios Diversos,high,
Frescor en Spray Boca Sana Aliento Fresco Foramen 15 Ml,1079,Bienes y Servicios Diversos,high,
Galleta Chokosoda Field 216 Gr,108,Alimentos y Bebidas No Alcohólicas,high,
Cinta Dental Teflon Ref 421 Foramen Unidad,1080,Bienes y Servicios Diversos,high,
Seda Dental 422 Foramen,1081,Bienes y Servicios Diversos,high,
Seda Dental con Microfilamentos Foramen,1082,Bienes y Servicios Diversos,high,
Cepillo F92 Clinic Doble 2X1 Duro Foramen,1083,Bienes y Servicios Diversos,high,
Cepillo F92 Clinic Doble 2X1 Medio Foramen,1084,Bienes y Servicios Diversos,high,
Cepillo F30 Tynex Medio Foramen 2X1,1085,Bienes y Servicios Diversos,high,
Cepillo F30 Tynex Duro Foramen 2X1,1086,Bienes y Servicios Diversos,high,
Cepillo F Expert 3 Suave Foramen 2X1,1087,Bienes y Servicios Diversos,high,
Cepillo Expert 3 Medio Foramen 2X1,1088,Bienes y Servicios Diversos,high,
Gel Dental Refrescante 75 Ml,1089,Bienes y Servicios Diversos,high,
Galleta Sabor Queso Sandwich Ritz 204 Gr,109,Alimentos y Bebidas No Alcohólicas,high,
Gel Dental Junior Vertical 75 Ml,1090,Bienes y Servicios Diversos,high,
Pasta Dental 2 En 1 Charcoal Foramen 100 Ml,1091,Bienes y Servicios Diversos,high,
Enjuague Bucal Accion Noche Foramen 500 Ml,1092,Bienes y Servicios Diversos,high,
Enjuague Bucal Whiting Foramen 500 Ml,1093,Bienes y Servicios Diversos,high,
Enjuague Bucal Antiplaca Foramen 500 Ml,1094,Bienes y Servicios Diversos,high,
Cepillo Infantil Foramino Foramen 2X1,1095,Bienes y Servicios Diversos,high,
Cepillo Junior Extreme 9 a 12 Años Foramen Unidad,1096,Bienes y Servicios Diversos,high,
Cepillo Flex Foramen Unidad,1097,Bienes y Servicios Diversos,high,
Cepillo Flexi Tip Suave Foramen Unidad,1098,Bienes y Servicios Diversos,high,
Cepillo Baby Con Protector Foramen Unidad,1099,Bienes y Servicios Diversos,high,
"Limpiador Frescura de Lavanda Poett 1,8 Lt",11,"Muebles, Bienes y Servicios Domésticos",high,
Cereal Zucarias Kelloggs 300 Gr,110,Alimentos y Bebidas No Alcohólicas,high,
Cepillo Blanqueador Foramen Unidad,1100,Bienes y Servicios Diversos,high,
Cepillo Kids Safari Foramen Unidad,1101,Bienes y Servicios Diversos,high,
Cepillo Flexi Tip Medio Foramen Unidad,1103,Bienes y Servicios Diversos,high,
Cepillo con Luz Foramen Unidad,1104,Bienes y Servicios Diversos,high,
Cepillo Charcoal Foramen Unidad,1105,Bienes y Servicios Diversos,high,
Arco Con Hilo Dental 30 Unidades,1106,Bienes y Servicios Diversos,high,
Cepillos Interdentales Extrafino 6 Unids,1107,Bienes y Servicios Diversos,high,
Cepillos Interdentales Fino 6 Unids,1108,Bienes y Servicios Diversos,high,
Cepillos Interdental Medio 6 Unds,1109,Bienes y Servicios Diversos,high,
Cereal Zucaritas Kelloggs 730 Gr,111,Alimentos y Bebidas No Alcohólicas,high,
Cepillos Interdentales Conico 6 Unids,1110,Bienes y Servicios Diversos,high,
Arco con Hilo Dental Charcoal  Foramen 30 Unidades,1112,Bienes y Servicios Diversos,high,
Crema Dental Sensible mas Blanqueador Foramen 75 Ml,1113,Bienes y Servicios Diversos,high,
Shampoo Bioxsine Forte 300 Ml,1115,Bienes y Servicios Diversos,high,
Preservativo Maxmen Boom 3 Unds,1116,Bienes y Servicios Diversos,high,
Preservativo Max Men Inspiral Tornado 3 Unds,1117,Bienes y Servicios Diversos,high,
Desodorante en Barra Deo Sti V8 Rexona Men 50 Gr,1119,Bienes y Servicios Diversos,high,
Te Verde Manzana Ice Tea 300 Gr,112,Alimentos y Bebidas No Alcohólicas,high,
Desodorante en Barra Sti Invisible Dove 50 Gr,1120,Bienes y Servicios Diversos,high,
Desodorante en Barra Invisible Rexona 50 Gr,1121,Bienes y Servicios Diversos,high,
Desodorante en Barra Extra Fresh Dove Men Care 50 Gr,1122,Bienes y Servicios Diversos,high,
Desodorante en Barra Xtra Cool Rexona 50 Gr,1123,Bienes y Servicios Diversos,high,
Desodorante en Barra Antivacterial mas Invisible Rexona 50 Gr,1124,Bienes y Servicios Diversos,high,
Desodorante Roll on Antibacterial Rexona men 50 Ml,1125,Bienes y Servicios Diversos,high,
Desodorante en Barra Sport Active Fresh Dove 50 Gr,1126,Bienes y Servicios Diversos,high,
Desosorante Roll on Sport Intense Rexona 50 Ml,1127,Bienes y Servicios Diversos,high,
Desodorante en Barra Sport Men Rexona 50 Gr,1128,Bienes y Servicios Diversos,high,
Te Verde Hindu 26 Gr,113,Alimentos y Bebidas No Alcohólicas,high,
Desodorante Deo Rollon Sensitive Rexona 50 Ml,1130,Bienes y Servicios Diversos,high,
Desodorante Roll on Original Dove 50 Ml,1131,Bienes y Servicios Diversos,high,
Desodorante Roll on Clear Tone Dove 50 Ml,1132,Bienes y Servicios Diversos,high,
Desodorante Roll on Invisible Dry Dove Men Care 50Ml,1133,Bienes y Servicios Diversos,high,
Desodorante Roll on Extra Fresh Dove Men Care 50 Ml,1134,Bienes y Servicios Diversos,high,
Desodorante Roll on Invisible Dry Dove Men Care 50 Ml,1135,Bienes y Servicios Diversos,high,
Desodorante Roll on Invisible Care Dove 50 Ml,1137,Bienes y Servicios Diversos,high,
Crema Piel Renovada Colageno y Elastina St Ives 532 Ml,1138,Bienes y Servicios Diversos,high,
Crema Corporal Humectacion Diaria St Ives 400 Ml,1139,Bienes y Servicios Diversos,high,
Fideo Spaguetti Don Vittorio 400 Gr,114,Alimentos y Bebidas No Alcohólicas,high,
Mostaza Hellmanns Doypack 200 Gr,1141,Alimentos y Bebidas No Alcohólicas,high,
Crema Humectante Nutritiva Ponds 100 Gr,1142,Bienes y Servicios Diversos,high,
Crema Humectante Nutritiva Ponds 200 Gr,1143,Bienes y Servicios Diversos,high,
Crema Facial Aclarante B3 Grasa Ponds 100 Gr,1144,Bienes y Servicios Diversos,high,
Crema Antiedad Rejuveness Dia Ponds 100 Gr,1145,Bienes y Servicios Diversos,high,
Crema Antiarrugas Rejuveness Noche Ponds 100 Gr,1146,Bienes y Servicios Diversos,high,
Crema para Peinar Restauracion Instantania Sedal 300 Ml,1147,Bienes y Servicios Diversos,high,
Crema para Peinar Liso Perfecto Sedal 300 Ml,1148,Bienes y Servicios Diversos,high,
Crema pra Peinar Ceramidas Sedal 300 Ml,1149,Bienes y Servicios Diversos,high,
Fideo Don Vittorio Tallarin Don Vittorio 400 Gr,115,Alimentos y Bebidas No Alcohólicas,high,
Crema para Peinar Rizos Definidos Sedal 300 Ml,1150,Bienes y Servicios Diversos,high,
Shampoo Anticaspa Clear Men 2en1 Limpieza Diaria 400 Ml,1151,Bienes y Servicios Diversos,high,
Shampoo Anticaspa Clear Men Caida Control 400 Ml,1152,Bienes y Servicios Diversos,high,
Shampoo Anticaspa Clear Men Ice Cool Menthol 400 Ml,1153,Bienes y Servicios Diversos,high,
Crema Corporal Aceite de Karite Dove 400 Ml,1154,Bienes y Servicios Diversos,high,
Locion desmaquillante Dual Bio Hidratante Ponds,1155,Bienes y Servicios Diversos,high,
Shampoo Crecimiento Anti Estrés Sedal 650 Ml,1156,Bienes y Servicios Diversos,high,
Crema Corporal Ritual Energizante Dove 400 Ml,1158,Bienes y Servicios Diversos,high,
Galleta Frac Vainilla Costa 132 Gr,116,Alimentos y Bebidas No Alcohólicas,high,
Desodorante Crema Humectante Dermoaclarant Dove 150 Ml,1163,Bienes y Servicios Diversos,high,
Desodorante Crema Humectante Go Fresh Dove 150 Ml,1164,Bienes y Servicios Diversos,high,
Desodorante Antibacterial Invisible Rexona 150 Ml,1165,Bienes y Servicios Diversos,high,
Desodorante Men Antibacterial Invisible Rexona 150 Ml,1166,Bienes y Servicios Diversos,high,
Ketchup Rik 1Kg,1167,Alimentos y Bebidas No Alcohólicas,high,
Ketchup Rik 400 Gg,1168,Alimentos y Bebidas No Alcohólicas,high,
Crema de Tomate Knorr 64 Gr,1169,Alimentos y Bebidas No Alcohólicas,high,
Galleta Soda Line Costa 180 Gr,117,Alimentos y Bebidas No Alcohólicas,high,
Salsa Bolognesa Knorr 50 Gr,1170,Alimentos y Bebidas No Alcohólicas,high,
Salsa Bechamel Knorr 40 Gr,1171,Alimentos y Bebidas No Alcohólicas,high,
Shampoo Manzzanilla Cabello Claro y Delgado Liz 900 Ml,1172,Bienes y Servicios Diversos,high,
Shampoo Anticaspa Control Eficaz Liz 900 Ml,1173,Bienes y Servicios Diversos,high,
Shampoo Aloe Vera y Pepino Liz 900 Ml,1174,Bienes y Servicios Diversos,high,
Shampoo Sin Sal Bebe Liz 900 Ml,1175,Bienes y Servicios Diversos,high,
Shampoo Aloe Vera y Pepino Liz Doy Pack 900 Ml,1176,Bienes y Servicios Diversos,high,
Shampoo Sin Sal Bebe Liz Doypack 900 Ml,1177,Bienes y Servicios Diversos,high,
Shampoo Aloe Vera y Pepino Liz Doypack 900 Ml,1178,Bienes y Servicios Diversos,high,
Shampoo Aceite de Coco y Proteina de Leche Liz Doypack 900 Ml,1179,Bienes y Servicios Diversos,high,
Shampoo Extracto de Palta Liz Doypack 900 Ml,1180,Bienes y Servicios Diversos,high,
Pasta Dental Accion Profunda Closeup 180 Gr,1184,Bienes y Servicios Diversos,high,
Pasta Dental Menthol Paradise Closeup 90 Gr,1185,Bienes y Servicios Diversos,high,
Pasta Dental Diamond Closeup 90 Gr,1186,Bienes y Servicios Diversos,high,
Gel Dental Platinum Closeup 90 Gr,1187,Bienes y Servicios Diversos,high,
Detergente en polvo Progress Omo 3.8 Kg,1188,"Muebles, Bienes y Servicios Domésticos",high,
Detergnete en polvo Piel Sensible Omo 1 Kg,1189,"Muebles, Bienes y Servicios Domésticos",high,
Endulzante Sucranova 300 Tabletas,119,Alimentos y Bebidas No Alcohólicas,high,
Detergnete en polvo Facil Enjuague Omo 1 Kg,1190,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en polvo Progress mas Blancura Omo 1 Kg,1191,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en polvo Matic Omo 1 Kg,1192,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en polvo Suavizante Clasico Omo 1 Kg,1193,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en polvo Limon Omo 1 Kg,1194,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en Polvo Original Omo 1 Kg,1195,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en polvo Piel Sensible Omo 2 Kg,1196,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en polvo Progress mas Blancura Omo 2 Kg,1197,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en polvo Matic Omo 2 Kg,1198,"Muebles, Bienes y Servicios Domésticos",high,
Detergnete en polvo Facil Enjuague Omo 2 Kg,1199,"Muebles, Bienes y Servicios Domésticos",high,
"Limpieza mas Fragancia Aroma Bebe Procenex 1,8 lt",12,"Muebles, Bienes y Servicios Domésticos",high,
Endulzante Sucranova 270 Ml,120,Alimentos y Bebidas No Alcohólicas,high,
Detergente en polvo Limon Omo 5 Kg,1201,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en polvo Matic Omo 3.8 Kg,1202,"Muebles, Bienes y Servicios Domésticos",high,
Detergente en polvo Antibacterial Omo 2 Kg,1203,"Muebles, Bienes y Servicios Domésticos",high,
Liquido Lava Ropa Regular Skip Bot 3 Lt,1204,"Muebles, Bienes y Servicios Domésticos",high,
Shampoo Reconstruccion Completa Dove 750 Ml,1205,Bienes y Servicios Diversos,high,
Acondicionador Reconstruccion Completa Dove 750 Ml,1206,Bienes y Servicios Diversos,high,
Acondicionador Reconstruccion Completa Dove 400 Ml,1207,Bienes y Servicios Diversos,high,
Shampoo Reconstruccion Completa Dove 400 Ml,1208,Bienes y Servicios Diversos,high,
Desodorante Antibac Dove Men Care 150 Ml,1209,Bienes y Servicios Diversos,high,
Resfresco en Polvo Nectar de Naranja Kris 1 Lt,121,Alimentos y Bebidas No Alcohólicas,high,
Desodorante Dark Temptation Fresh Axe 150Ml,1210,Bienes y Servicios Diversos,high,
Desodorante Dark Temptation Anti Perspirant Axe 152 Ml,1211,Bienes y Servicios Diversos,high,
Desodorate Anti Transpirante Black Axe 152 Ml,1212,Bienes y Servicios Diversos,high,
Jaboncillo Crema Antibacterial Lifebuoy 3X125,1213,Bienes y Servicios Diversos,high,
Shampoo Ceramidas Sedal 340 Ml,1214,Bienes y Servicios Diversos,high,
Shampoo Liso Perfecto Sedal 340 Ml,1215,Bienes y Servicios Diversos,high,
Shampoo Restauracion Instantanea Sedal 340 Ml,1216,Bienes y Servicios Diversos,high,
Shampoo Rizos Definidos Sedal 340 Ml,1217,Bienes y Servicios Diversos,high,
Shampoo Caspa Control 2en1 Sedal 340 Ml,1218,Bienes y Servicios Diversos,high,
Acondicionador Tratamiento con Ceramidas Sedal 340 Ml,1219,Bienes y Servicios Diversos,high,
Refresco en Polvo Nectar Manzana Kris 1 Lt,122,Alimentos y Bebidas No Alcohólicas,high,
Acondicionador Liso Perfecto Sedal 340 Ml,1220,Bienes y Servicios Diversos,high,
Acondicionador Tratamiento Restauracion Inst. Sedal 340 Ml,1222,Bienes y Servicios Diversos,high,
Acondicionador Rizos Definidos Sedal 340 Ml,1223,Bienes y Servicios Diversos,high,
Shampoo Liso Perfecto Sedal 650 Ml,1224,Bienes y Servicios Diversos,high,
Shampoo Restauracion Instantanea Sedal 650 Ml,1225,Bienes y Servicios Diversos,high,
Shampoo Liso Perfecto Sedal 650 Ml,1226,Bienes y Servicios Diversos,high,
Acondicionador Tratamiento Restauracion Inst. Sedal 650 Ml,1227,Bienes y Servicios Diversos,high,
Acondicionador Rizos Definidos Sedal 650 Ml,1228,Bienes y Servicios Diversos,high,
Gelatina de Cereza Kris 230 Gr,123,Alimentos y Bebidas No Alcohólicas,high,
Desodorante Nutritive Rexona 150 Ml,1230,Bienes y Servicios Diversos,high,
Desodorante Collision Cuero y Cookies Axe 150 Ml,1232,Bienes y Servicios Diversos,high,
Shampoo Sports Activ Fresh 3en1 Dove 400 Ml,1233,Bienes y Servicios Diversos,high,
Acondicionador bomba de Nutricion Sedal 340 Ml,1234,Bienes y Servicios Diversos,high,
Shampoo Bomba de Nutricion Sedal 340 Ml,1236,Bienes y Servicios Diversos,high,
Shampoo Bomba de Nutricion Sedal 650 Ml,1237,Bienes y Servicios Diversos,high,
Desodorante Teens Tropical Energy Rexona 150 Ml,1238,Bienes y Servicios Diversos,high,
Gelatina Sabor Naranja Kris 230 Gr,124,Alimentos y Bebidas No Alcohólicas,high,
Shampoo Bomba Aragan Sedal 340 Ml,1241,Bienes y Servicios Diversos,high,
Shampoo Bomba Aragan Sedal 650 Ml,1242,Bienes y Servicios Diversos,high,
Acondicionador Tratamiento Bomba Argan Sedal 650 Ml,1243,Bienes y Servicios Diversos,high,
Jaboncillo Antibacterial Aloe Rexona 3X90 Gr,1245,Bienes y Servicios Diversos,high,
Flan de Vainilla Kris 60 Gr,125,Alimentos y Bebidas No Alcohólicas,high,
Jaboncillo Rosas Francesas Piel Renovada Lux 3X125 Gr,1251,Bienes y Servicios Diversos,high,
Jaboncillo Jazmin Piel Suave Lux 3X125 Gr,1252,Bienes y Servicios Diversos,high,
Jaboncillo Orquidea Negra Piel Luminosa Lux 3X125 Gr,1253,Bienes y Servicios Diversos,high,
Jaboncillo Lirio Azul Piel Fresca Lux 3X125 Gr,1254,Bienes y Servicios Diversos,high,
Jaboncillo Flor de Vainilla Piel Radiante Lux 3X125 Gr,1255,Bienes y Servicios Diversos,high,
Desodorante Sport Active Dove Men Care 150 Ml,1256,Bienes y Servicios Diversos,high,
Desodorante Sport Intense Rexona 150 Ml,1257,Bienes y Servicios Diversos,high,
Shampoo Bomba Coco Sedal 340 Ml,1258,Bienes y Servicios Diversos,high,
Acondicionador Bomba Coco Sedal 340 Ml,1259,Bienes y Servicios Diversos,high,
Pure de Papas Sachet Kris 125 Gr,126,Alimentos y Bebidas No Alcohólicas,high,
Acondicionador Bomba Coco Sedal 650 Ml,1260,Bienes y Servicios Diversos,high,
Acondicionador Fuerza Vital Dove 400 Ml,1261,Bienes y Servicios Diversos,high,
Acondicionador Reparacion Extrema Dove 400 Ml,1262,Bienes y Servicios Diversos,high,
Shampoo Regeneracion Extrema Dove 400 Ml,1263,Bienes y Servicios Diversos,high,
Shampoo Regeneracion Extrema Dove 750 Ml,1264,Bienes y Servicios Diversos,high,
Desodorante Wild Frescura Salvaje Axe 150Ml,1265,Bienes y Servicios Diversos,high,
Desinfectante Alcohol en Spray para Manos Rexona 125 Ml,1266,Bienes y Servicios Diversos,high,
Mayonesa Sin Colesterol RiK Doypack 242 Gr,1267,Alimentos y Bebidas No Alcohólicas,high,
Mayonesa Sin Colesterol RiK Doypack 485 Gr,1268,Alimentos y Bebidas No Alcohólicas,high,
Mayonesa Sin Colesterol RiK Doypack 970 Gr,1269,Alimentos y Bebidas No Alcohólicas,high,
Galleta Integral Ferrari Ghezzi 220 Gr,127,Alimentos y Bebidas No Alcohólicas,high,
Mezcla Fideos Codos Al Verdeo Knorr 211 Gr,1270,Alimentos y Bebidas No Alcohólicas,high,
Mezcla de Arroz De La Huerta Knor 197Gr,1271,Alimentos y Bebidas No Alcohólicas,high,
Sopa Crema Zapallo Knorr 70 Gr,1279,Alimentos y Bebidas No Alcohólicas,high,
Lasagna Especial al Huevo Ferrari Ghezzi 200 Gr,128,Alimentos y Bebidas No Alcohólicas,high,
Sopa Crema Verduras Knorr 60 Gr,1280,Alimentos y Bebidas No Alcohólicas,high,
Pure de Papas Knorr 200 Gr,1281,Alimentos y Bebidas No Alcohólicas,high,
Salsa Lista Pomarola Tradicional Knorr 340 Gr,1283,Alimentos y Bebidas No Alcohólicas,high,
Salsa Lista Pizza Knorr 340 Gr,1286,Alimentos y Bebidas No Alcohólicas,high,
Galletas Crackers Ferrari Ghezzi 1 Kg,129,Alimentos y Bebidas No Alcohólicas,high,
Mayonesa Clasica Hellmanns 118 Gr,1295,Alimentos y Bebidas No Alcohólicas,high,
Mayonesa Clasica Hellmanns Doypack 475 Gr,1296,Alimentos y Bebidas No Alcohólicas,high,
Mayonesa Clasica Hellmanns Doypack 237 Gr,1297,Alimentos y Bebidas No Alcohólicas,high,
Ketchup Hellmanns Doypack 500 Gr,1298,Alimentos y Bebidas No Alcohólicas,high,
Ketchup Hellmanns Doypack 500 Gr,1299,Alimentos y Bebidas No Alcohólicas,high,
Esponja Bombril 3 Unds,13,"Muebles, Bienes y Servicios Domésticos",high,
Galleta Integral Ferrari Ghezzi 1 Kg,130,Alimentos y Bebidas No Alcohólicas,high,
Salsa Golf Hellmanns 250 Gr,1300,Alimentos y Bebidas No Alcohólicas,high,
Mayonesa Clasica Hellmanns Sachet 2.75 Kg,1302,Alimentos y Bebidas No Alcohólicas,high,
Sopa Familiar Vegetales con Fideos Letras Knorr 107.5 Gr,1305,Alimentos y Bebidas No Alcohólicas,high,
Sopa Familiar Vegetales con Fideos Caracolitos Knorr 107.5 Gr,1306,Alimentos y Bebidas No Alcohólicas,high,
Sopa Familiar Pollos con Fideos Cab. de Angel Knorr 105.6 Gr,1307,Alimentos y Bebidas No Alcohólicas,high,
Te Sabor Grey Lipton 20 Bols.,1309,Alimentos y Bebidas No Alcohólicas,high,
Pan Molde Integral American King,131,Alimentos y Bebidas No Alcohólicas,high,
Te Desayuno Ingles Lipton 20 Bols.,1310,Alimentos y Bebidas No Alcohólicas,high,
Te Etiqueta Amarilla Lipton 20 Bols.,1311,Alimentos y Bebidas No Alcohólicas,high,
Te Etiqueta Amarilla Lipton 100 Bols.,1312,Alimentos y Bebidas No Alcohólicas,high,
Te Verde Clasico Lipton 20 Bols.,1313,Alimentos y Bebidas No Alcohólicas,high,
Te Verde con Menta Lipton 20 Bols.,1314,Alimentos y Bebidas No Alcohólicas,high,
Pasta Dental Extra Whitening Pepsodent  90 Gr,1316,Bienes y Servicios Diversos,high,
